"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.223112498E-2,-3.557206267E-1,2.206423438E-1,-5.817178506E-1
3.221612499E-2,-1.586940175E-1,1.581379473E-1,-2.517284811E-1
4.220112500E-2,-3.388636887E-2,6.248743951E-2,-3.519205213E-2
5.218712502E-2,3.640169486E-2,-2.653057158E-2,8.197854817E-2
6.217212498E-2,5.173631027E-2,-3.758356333E-2,1.292679048E-1
7.215712499E-2,4.514269754E-2,-2.197851419E-2,6.449712753E-2
8.214312501E-2,-7.804395676E-2,7.649736822E-2,-1.129728842E-1
9.212812502E-2,-2.322410269E-1,1.071461338E-1,-3.932796317E-1
1.021131250E-1,-3.611718397E-1,9.404544711E-2,-6.333019871E-1
1.120991250E-1,-4.626078750E-1,1.329662687E-1,-7.417982429E-1
1.220841250E-1,-5.953367467E-1,1.934001660E-1,-6.869624698E-1
1.320691250E-1,-6.335396764E-1,2.771217692E-1,-5.725804067E-1
1.420551250E-1,-6.015994070E-1,4.095419079E-1,-4.375950944E-1
1.520401250E-1,-5.414514385E-1,3.852297699E-1,-3.103035486E-1
1.620251250E-1,-5.235446329E-1,4.313333112E-1,-1.444800210E-1
1.720111250E-1,-5.481700355E-1,4.817716858E-1,6.701786220E-2
1.819961250E-1,-5.216312778E-1,4.035625452E-1,2.577183688E-1
1.919811250E-1,-3.786245359E-1,2.881037173E-1,4.118866414E-1
2.019671250E-1,-3.050289215E-1,4.547584265E-2,5.197911590E-1
2.119521250E-1,-2.695153456E-1,-1.467075178E-1,5.699707943E-1
2.219371250E-1,-2.020476133E-1,-2.019318384E-1,5.373404074E-1
2.319231250E-1,-1.415648551E-1,-1.589843318E-1,5.051093853E-1
2.419081250E-1,-1.584367035E-1,-1.533920547E-1,4.258638257E-1
2.518931250E-1,-2.127931511E-1,-2.020590153E-1,2.932957524E-1
2.618791250E-1,-1.400029724E-1,-1.862791345E-1,1.547114789E-1
2.718641250E-1,4.462047723E-2,-2.070718333E-1,4.473704696E-2
2.818491250E-1,2.660760316E-1,-2.345753816E-1,-3.094931245E-2
2.918351250E-1,4.318455273E-1,-3.159855804E-1,-9.863434196E-2
3.018201250E-1,5.230029980E-1,-3.949364403E-1,-1.872974271E-1
3.118051250E-1,4.535445080E-1,-3.905299786E-1,-3.381602687E-1
3.217911250E-1,3.238429226E-1,-3.861416432E-1,-5.309950089E-1
3.317761250E-1,2.403564506E-1,-3.953942773E-1,-6.548963392E-1
3.417611250E-1,2.529610010E-1,-4.042188951E-1,-5.985660177E-1
3.517471250E-1,3.241574297E-1,-2.819430909E-1,-3.120612216E-1
3.617321250E-1,3.691180596E-1,-1.095393991E-1,9.377822936E-2
3.717171250E-1,4.475371883E-1,-6.039793700E-2,4.823309720E-1
3.817031250E-1,5.564673076E-1,-1.296351099E-1,7.215890962E-1
3.916881250E-1,5.611789209E-1,-2.450892600E-1,7.858038032E-1
4.016731250E-1,5.338695733E-1,-2.934852022E-1,7.699175030E-1
4.116591250E-1,4.260454548E-1,-3.032792884E-1,6.296960092E-1
4.216441250E-1,1.236685380E-1,-2.410251528E-1,3.629103631E-1
4.316291250E-1,4.211837143E-2,1.983550966E-2,2.637971342E-1
4.416151250E-1,-1.099291161E-2,2.033149973E-1,2.116902566E-1
4.516001250E-1,-2.803315982E-2,2.482458794E-1,9.726200044E-2
4.615851250E-1,-3.905209154E-2,1.892299318E-1,2.408175766E-2
4.715711250E-1,-8.371663302E-2,8.703141958E-2,6.327389002E-2
4.815561250E-1,-6.287445210E-2,6.289762169E-2,2.272590530E-1
4.915411250E-1,-4.647454709E-2,8.734570742E-2,4.225519627E-1
5.015271250E-1,-1.968428604E-2,7.846671045E-2,6.147464329E-1
5.115121250E-1,2.571459264E-2,3.852408797E-2,7.133591402E-1
5.214971250E-1,8.486780360E-2,-2.151658416E-2,6.792505771E-1
5.314831250E-1,1.052525130E-1,-5.446564436E-2,5.752438134E-1
5.414681250E-1,9.835265234E-2,-5.383589923E-2,4.380587786E-1
5.514531250E-1,7.155471683E-2,-5.765734702E-2,2.408877432E-1
5.614391250E-1,7.211027540E-2,-6.735583127E-2,2.603765130E-2
5.714241250E-1,3.096159160E-2,-6.359928757E-2,-1.854157931E-1
5.814091250E-1,1.238513365E-4,-7.005402893E-2,-2.819077152E-1
5.913941250E-1,3.164125733E-2,-7.590855360E-2,-2.918742943E-1
6.013801250E-1,3.064174891E-2,-5.136954367E-2,-2.970391399E-1
6.113651250E-1,-2.227186169E-2,-4.356877327E-2,-2.528505617E-1
6.213501250E-1,-7.737441402E-2,-7.336296827E-2,-2.009612006E-1
6.313361250E-1,-1.612370082E-1,-1.034077165E-1,-1.797977883E-1
6.413211250E-1,-1.924146178E-1,-9.988009125E-2,-1.506915182E-1
6.513061250E-1,-2.148638329E-1,-8.085792929E-2,-1.355004519E-1
6.612921250E-1,-1.908480391E-1,-5.827919841E-2,-8.989450872E-2
6.712771250E-1,-1.179596090E-1,-3.253829330E-2,-3.826827228E-2
6.812621250E-1,-4.707286343E-2,-2.690947115E-2,4.349509835E-2
6.912481250E-1,2.506299354E-3,-9.267252088E-3,1.148609501E-1
7.012331250E-1,2.307329569E-2,2.954861194E-2,1.490338326E-1
7.112181250E-1,4.181625310E-2,1.418446809E-2,1.773027813E-1
7.212041250E-1,8.027609479E-2,-1.133745879E-2,2.038169807E-1
7.311891250E-1,1.043927530E-1,-2.308363795E-2,2.476412773E-1
7.411741250E-1,1.023071243E-1,-5.026851296E-3,2.705939376E-1
7.511601250E-1,9.561798267E-2,-1.400905162E-2,2.877052295E-1
7.611451250E-1,7.704053801E-2,-2.157037854E-2,3.008392453E-1
7.711301250E-1,9.045006730E-2,-1.615439504E-2,2.752331185E-1
7.811161250E-1,1.011938875E-1,-1.460575998E-2,2.343458784E-1
7.911011250E-1,1.018134000E-1,-1.195989490E-2,1.837072366E-1
8.010861250E-1,8.063862216E-2,-1.665170074E-2,1.172717571E-1
8.110721250E-1,5.019136626E-2,-4.074135214E-2,1.066309941E-1
8.210571250E-1,3.301593773E-3,-4.692624450E-2,1.129331231E-1
8.310421250E-1,-2.938850787E-2,-4.916894406E-2,1.053674108E-1
8.410281250E-1,-5.238410868E-2,-3.095925272E-2,6.779027939E-2
8.510131250E-1,-6.872479236E-2,5.190865695E-3,2.051729500E-2
8.609981250E-1,-8.950797122E-2,1.218647450E-2,-1.743932068E-2
8.709841250E-1,-8.648711689E-2,2.170574158E-2,-4.212509573E-2
8.809691250E-1,-1.270428565E-1,4.153511167E-2,-8.180897892E-2
8.909541250E-1,-1.473362214E-1,3.958360344E-2,-7.610502005E-2
9.009401250E-1,-1.597742541E-1,2.893670082E-2,-5.137948394E-3
9.109251250E-1,-1.802515687E-1,2.627153993E-2,4.503876328E-2
9.209101250E-1,-1.784235647E-1,3.471170336E-2,8.271178901E-2
9.308961250E-1,-1.481788965E-1,3.126184613E-2,6.607762992E-2
9.408811250E-1,-1.395859929E-1,2.033953965E-2,3.200122654E-2
9.508661250E-1,-1.658918486E-1,3.655065268E-2,6.178752780E-3
9.608521250E-1,-1.756822438E-1,4.251510501E-2,9.973595738E-3
9.708371250E-1,-1.576706817E-1,5.166950583E-2,2.013722599E-2
9.808221250E-1,-1.553030344E-1,5.240596265E-2,3.395653546E-2
9.908071250E-1,-1.807534608E-1,9.631241262E-3,5.230919123E-2
1.000793125E0,-1.862039795E-1,-2.945505649E-2,7.213476062E-2
1.010778125E0,-1.684617730E-1,-2.559969485E-2,1.351817787E-1
1.020763125E0,-1.602040975E-1,1.264168024E-3,1.878435570E-1
