"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.140499115E-2,6.098737936E1,2.564216424E1,9.020000000E1,NaN,NaN,5.306599804E1,4.189289279E1
6.101405621E-2,6.098737936E1,2.564216424E1,9.020000000E1,NaN,NaN,1.166293251E2,4.189452682E1
9.449559450E-1,6.098714992E1,2.564234984E1,8.775186950E1,NaN,NaN,4.311527275E1,3.475715712E1
2.451701641E0,6.098760856E1,2.564340864E1,7.255462646E1,0.000000000E0,NaN,1.333255306E1,1.600000000E1
3.451695323E0,6.098764222E1,2.564350550E1,7.076269531E1,0.000000000E0,NaN,4.932636995E0,1.200000000E1
4.451690078E0,6.098764515E1,2.564349988E1,7.045605469E1,0.000000000E0,NaN,4.314251575E0,1.200000000E1
5.451684713E0,6.098764846E1,2.564349484E1,7.032574463E1,0.000000000E0,NaN,4.091117083E0,1.200000000E1
6.452007413E0,6.098765048E1,2.564348939E1,7.023468018E1,0.000000000E0,NaN,3.854047785E0,8.000000000E0
7.452010512E0,6.098765120E1,2.564348444E1,7.009906006E1,0.000000000E0,NaN,3.689365986E0,8.000000000E0
8.452008486E0,6.098765237E1,2.564348033E1,7.010235596E1,0.000000000E0,NaN,3.563893409E0,8.000000000E0
9.452020884E0,6.098765346E1,2.564347648E1,7.012109375E1,0.000000000E0,NaN,3.529386685E0,8.000000000E0
1.045202053E1,6.098765472E1,2.564347321E1,6.992980957E1,0.000000000E0,NaN,3.525244048E0,8.000000000E0
1.145201325E1,6.098765541E1,2.564347152E1,7.012011719E1,0.000000000E0,NaN,2.504875395E0,8.000000000E0
1.245201528E1,6.098765609E1,2.564346988E1,7.012011719E1,0.000000000E0,NaN,3.490501069E0,6.000000000E0
1.345202339E1,6.098765610E1,2.564346987E1,7.035745819E1,0.000000000E0,NaN,2.840318180E0,8.058728876E0
1.445202005E1,6.098765471E1,2.564345142E1,7.015799530E1,0.000000000E0,NaN,4.706916247E0,8.058728876E0
1.545202506E1,6.098766111E1,2.564343032E1,6.838081945E1,8.500000238E-1,2.816015490E2,4.729796915E0,8.058728876E0
1.645203340E1,6.098766428E1,2.564340949E1,6.820936407E1,8.500000238E-1,2.816015490E2,4.730695253E0,5.372485918E0
1.745203245E1,6.098766771E1,2.564339008E1,6.819733061E1,8.500000238E-1,2.819531116E2,4.731465604E0,5.372485918E0
1.845204175E1,6.098767075E1,2.564337547E1,6.806274044E1,7.400000095E-1,2.816015508E2,4.320403562E0,8.058728876E0
1.945204866E1,6.098767417E1,2.564335898E1,6.773150075E1,7.900000215E-1,2.833593626E2,4.524334854E0,5.372485918E0
2.045204759E1,6.098767704E1,2.564334280E1,6.670176900E1,7.900000215E-1,2.833593626E2,4.633442961E0,5.372485918E0
2.145204508E1,6.098768038E1,2.564332673E1,6.657981313E1,7.900000215E-1,2.833593626E2,4.748651530E0,5.372485918E0
2.245204246E1,6.098768400E1,2.564330931E1,6.581845106E1,8.799999952E-1,2.900390491E2,4.748651530E0,5.372485918E0
2.345204055E1,6.098768723E1,2.564329137E1,6.503292097E1,8.799999952E-1,2.900390491E2,4.748651530E0,4.029364438E0
